host_animal_common,sample_id,gene,gene_type,gene_identifier,gene_name_family,resistance_class
cat,SD57007PPY20366,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,SD57007PPY20368,blaEC-19,chromosome,blaEC-19,ampC,beta-lactam
cat,SD57007PPY20368,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,TX77840PPY20009,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,TX77840PPY20009,Col156,plasmid,Col156,,colistin
cat,TX77840PPY20009,ColRNAI,plasmid,ColRNAI,,colistin
cat,TX77840PPY20009,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,TX77840PPY20036,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,TX77840PPY20036,IncFIB(pKPHS1)_pKPHS1,plasmid,IncFIB(pKPHS1)_pKPHS1,,MULTI-DRUG
cat,TX77840PPY20036,IncI1_Alpha,plasmid,IncI1_Alpha,,MULTI-DRUG
cat,TX77840PPY20036,Col156,plasmid,Col156,,colistin
cat,TX77840PPY20036,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,TX77840PPY20125,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,TX77840PPY20125,IncFII,plasmid,IncFII,,MULTI-DRUG
cat,TX77840PPY20125,ColRNAI,plasmid,ColRNAI,,colistin
cat,TX77840PPY20125,Col156,plasmid,Col156,,colistin
cat,TX77840PPY20125,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,TX77840PPY20171,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,TX77840PPY20171,Col156,plasmid,Col156,,colistin
cat,TX77840PPY20171,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,WA99164PPY20127,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,WA99164PPY20127,Col156,plasmid,Col156,,colistin
cat,WA99164PPY20127,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,WA99164PPY20139,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,WA99164PPY20139,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
cat,WA99164PPY20139,Col156,plasmid,Col156,,colistin
cat,WA99164PPY20139,ColRNAI,plasmid,ColRNAI,,colistin
cat,WA99164PPY20139,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,WA99164PPY20181,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,WA99164PPY20181,tet(34),chromosome,tet34,tet,tetracycline
cat,WA99164PPY20181,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
cat,WA99164PPY20181,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
cat,WA99164PPY20181,Col156,plasmid,Col156,,colistin
cat,WA99164PPY20181,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
cat,WA99164PPY20181,IncFII(29)_pUTI89,plasmid,IncFII(29)_pUTI89,,MULTI-DRUG
cat,WA99164PPY20181,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,WA99164PPY20181,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
cat,WA99164PPY20234,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,WA99164PPY20234,pESA2,plasmid,pESA2,,MULTI-DRUG
cat,WA99164PPY20234,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,WI53706PPY20026,tet(34),chromosome,tet34,tet,tetracycline
cat,WI53706PPY20026,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
cat,WI53706PPY20026,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,WI53706PPY20026,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
cat,WI53706PPY20026,Col156,plasmid,Col156,,colistin
cat,WI53706PPY20026,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
cat,WI53706PPY20026,IncFII(29)_pUTI89,plasmid,IncFII(29)_pUTI89,,MULTI-DRUG
cat,WI53706PPY20026,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,WI53706PPY20026,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
cat,WI53706PPY20133,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,WI53706PPY20133,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,CA95616PPY20016,blaEC-15,chromosome,blaEC-15,ampC,beta-lactam
chicken,CA95616PPY20016,aph(3'')-Ib,chromosome,APH(3'')-Ib,APH(3''),aminoglycoside
chicken,CA95616PPY20016,aph(6)-Id,chromosome,APH(6)-Id,APH(6),aminoglycoside
chicken,CA95616PPY20016,aph(3')-Ia,chromosome,APH(3')-Ia,APH(3'),aminoglycoside
chicken,CA95616PPY20016,tet(B),chromosome,tet(B),MFS,tetracycline
chicken,CA95616PPY20016,tet(34),chromosome,tet34,tet,tetracycline
chicken,CA95616PPY20016,sul2,chromosome,sul2,sul,sulfonamide
chicken,CA95616PPY20016,p0111,plasmid,p0111,,MULTI-DRUG
chicken,CA95616PPY20016,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,CA95616PPY20016,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,CA95616PPY20016,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,CA95616PPY20072,blaEC-8,chromosome,blaEC-8,ampC,beta-lactam
chicken,CA95616PPY20072,IncI1_Alpha,plasmid,IncI1_Alpha,,MULTI-DRUG
chicken,CA95616PPY20072,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,CA95616PPY20072,ColRNAI,plasmid,ColRNAI,,colistin
chicken,CA95616PPY20072,IncFII(pRSB107)_pRSB107,plasmid,IncFII(pRSB107)_pRSB107,,MULTI-DRUG
chicken,CA95616PPY20072,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,CA95616PPY20121,blaEC-18,chromosome,blaEC-18,ampC,beta-lactam
chicken,CA95616PPY20121,tet(34),chromosome,tet34,tet,tetracycline
chicken,CA95616PPY20121,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,CA95616PPY20121,IncFIA,plasmid,IncFIA,,MULTI-DRUG
chicken,CA95616PPY20121,Col(MG828),plasmid,Col(MG828),,colistin
chicken,CA95616PPY20121,IncFII(pCRY)_pCRY,plasmid,IncFII(pCRY)_pCRY,,MULTI-DRUG
chicken,CA95616PPY20121,p0111,plasmid,p0111,,MULTI-DRUG
chicken,CA95616PPY20121,IncHI1B(CIT)_pNDM-CIT,plasmid,IncHI1B(CIT)_pNDM-CIT,,MULTI-DRUG
chicken,CA95616PPY20121,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,CA95616PPY20121,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,CA95616PPY20219,blaEC-18,chromosome,blaEC-18,ampC,beta-lactam
chicken,CA95616PPY20219,tet(34),chromosome,tet34,tet,tetracycline
chicken,CA95616PPY20219,IncFIB(pHCM2)_pHCM2,plasmid,IncFIB(pHCM2)_pHCM2,,MULTI-DRUG
chicken,CA95616PPY20219,p0111,plasmid,p0111,,MULTI-DRUG
chicken,CA95616PPY20219,IncHI1B(CIT)_pNDM-CIT,plasmid,IncHI1B(CIT)_pNDM-CIT,,MULTI-DRUG
chicken,CA95616PPY20219,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,CO80526PPY20028,blaEC-13,chromosome,blaEC-13,ampC,beta-lactam
chicken,CO80526PPY20028,aadA1,chromosome,aadA1,ANT(3''),aminoglycoside
chicken,CO80526PPY20028,aac(3)-VIa,chromosome,AAC(3)-VIa,AAC(3),aminoglycoside
chicken,CO80526PPY20028,tet(A),chromosome,tet(A),MFS,tetracycline
chicken,CO80526PPY20028,IncI1_Alpha,plasmid,IncI1_Alpha,,MULTI-DRUG
chicken,CO80526PPY20028,IncI2_Delta,plasmid,IncI2_Delta,,MULTI-DRUG
chicken,CO80526PPY20028,IncFII(29)_pUTI89,plasmid,IncFII(29)_pUTI89,,MULTI-DRUG
chicken,CO80526PPY20028,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,CO80526PPY20028,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,CO80526PPY20028,Col156,plasmid,Col156,,colistin
chicken,CO80526PPY20028,Col(MG828),plasmid,Col(MG828),,colistin
chicken,CO80526PPY20028,ant(3'')-Ia,chromosome,ANT(3'')-Ia,	ANT(3''),aminoglycoside
chicken,CO80526PPY20028,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,FL34741PPY20046,blaEC,chromosome,blaEC,ampC,beta-lactam
chicken,FL34741PPY20046,tet(A),chromosome,tet(A),MFS,tetracycline
chicken,FL34741PPY20046,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,FL34741PPY20046,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,FL34741PPY20046,ColRNAI,plasmid,ColRNAI,,colistin
chicken,FL34741PPY20046,IncX1,plasmid,IncX1,,MULTI-DRUG
chicken,FL34741PPY20046,Col(MG828),plasmid,Col(MG828),,colistin
chicken,FL34741PPY20046,ColpVC,plasmid,ColpVC,,colistin
chicken,FL34741PPY20046,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,FL34741PPY20051,tet(34),chromosome,tet34,tet,tetracycline
chicken,FL34741PPY20051,blaEC-13,chromosome,blaEC-13,ampC,beta-lactam
chicken,FL34741PPY20051,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,FL34741PPY20085,blaEC-18,chromosome,blaEC-18,ampC,beta-lactam
chicken,FL34741PPY20085,tet(34),chromosome,tet34,tet,tetracycline
chicken,FL34741PPY20085,tet(B),chromosome,tet(B),MFS,tetracycline
chicken,FL34741PPY20085,IncFIB(pHCM2)_pHCM2,plasmid,IncFIB(pHCM2)_pHCM2,,MULTI-DRUG
chicken,FL34741PPY20085,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,IN47907PPY20308,aac(3)-IId,chromosome,AAC(3)-IId,AAC(3),aminoglycoside
chicken,IN47907PPY20308,aac(3)-IId,chromosome,AAC(3)-Iid,AAC(3),aminoglycoside
chicken,IN47907PPY20308,tet(A),chromosome,tet(A),MFS,tetracycline
chicken,IN47907PPY20308,tet(34),chromosome,tet34,tet,tetracycline
chicken,IN47907PPY20308,blaEC-18,chromosome,blaEC-18,ampC,beta-lactam
chicken,IN47907PPY20308,ColRNAI,plasmid,ColRNAI,,colistin
chicken,IN47907PPY20308,Col(MG828),plasmid,Col(MG828),,colistin
chicken,IN47907PPY20308,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,IN47907PPY20308,IncFIA,plasmid,IncFIA,,MULTI-DRUG
chicken,IN47907PPY20308,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,IN47907PPY20308,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,IN47907PPY20415,tet(34),chromosome,tet34,tet,tetracycline
chicken,IN47907PPY20415,blaEC-15,chromosome,blaEC-15,ampC,beta-lactam
chicken,IN47907PPY20415,aac(3)-IId,chromosome,AAC(3)-IId,AAC(3),aminoglycoside
chicken,IN47907PPY20415,aac(3)-IId,chromosome,AAC(3)-Iid,AAC(3),aminoglycoside
chicken,IN47907PPY20415,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
chicken,IN47907PPY20415,IncFII(pCoo)_pCoo,plasmid,IncFII(pCoo)_pCoo,,MULTI-DRUG
chicken,IN47907PPY20415,IncB/O/K/Z,plasmid,IncB/O/K/Z,,MULTI-DRUG
chicken,IN47907PPY20415,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,IN47907PPY20415,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,IN47907PPY20415,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
chicken,IN47907PPY20450,tet(34),chromosome,tet34,tet,tetracycline
chicken,IN47907PPY20450,blaEC-15,chromosome,blaEC-15,ampC,beta-lactam
chicken,IN47907PPY20450,p0111,plasmid,p0111,,MULTI-DRUG
chicken,IN47907PPY20450,IncHI1B(CIT)_pNDM-CIT,plasmid,IncHI1B(CIT)_pNDM-CIT,,MULTI-DRUG
chicken,IN47907PPY20450,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,KY40511PPY20001,blaEC,chromosome,blaEC,ampC,beta-lactam
chicken,KY40511PPY20001,tet(A),chromosome,tet(A),MFS,tetracycline
chicken,KY40511PPY20001,IncI2_Delta,plasmid,IncI2_Delta,,MULTI-DRUG
chicken,KY40511PPY20001,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,KY40511PPY20001,IncX1,plasmid,IncX1,,MULTI-DRUG
chicken,KY40511PPY20001,ColRNAI,plasmid,ColRNAI,,colistin
chicken,KY40511PPY20001,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,KY40511PPY20001,Col(MG828),plasmid,Col(MG828),,colistin
chicken,KY40511PPY20001,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,KY40511PPY20115,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
chicken,KY40511PPY20115,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,KY40511PPY20115,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,KY40511PPY20115,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,KY40511PPY20144,blaEC,chromosome,blaEC,ampC,beta-lactam
chicken,KY40511PPY20144,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,KY40511PPY20144,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,KY40511PPY20144,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,KY40511PPY20182,blaEC-13,chromosome,blaEC-13,ampC,beta-lactam
chicken,KY40511PPY20182,tet(A),chromosome,tet(A),MFS,tetracycline
chicken,KY40511PPY20182,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
chicken,KY40511PPY20182,aac(3)-IId,chromosome,AAC(3)-IId,AAC(3),aminoglycoside
chicken,KY40511PPY20182,aac(3)-IId,chromosome,AAC(3)-Iid,AAC(3),aminoglycoside
chicken,KY40511PPY20182,ColpVC,plasmid,ColpVC,,colistin
chicken,KY40511PPY20182,IncFII(pCoo)_pCoo,plasmid,IncFII(pCoo)_pCoo,,MULTI-DRUG
chicken,KY40511PPY20182,IncI1_Alpha,plasmid,IncI1_Alpha,,MULTI-DRUG
chicken,KY40511PPY20182,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,KY40511PPY20182,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,KY40511PPY20182,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
chicken,KY40511PPY20283,aadA12,chromosome,aadA12,ANT(3''),aminoglycoside
chicken,KY40511PPY20283,floR,chromosome,floR,MFS,phenicol
chicken,KY40511PPY20283,sul2,chromosome,sul2,sul,sulfonamide
chicken,KY40511PPY20283,blaCTX-M-15,chromosome,CTX-M-15,CTX-M,beta-lactam
chicken,KY40511PPY20283,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
chicken,KY40511PPY20283,sul3,chromosome,sul3,sul,sulfonamide
chicken,KY40511PPY20283,mef(B),chromosome,mef(B),MFS,macrolide
chicken,KY40511PPY20283,tet(A),chromosome,tet(A),MFS,tetracycline
chicken,KY40511PPY20283,cmlA1,chromosome,cmlA1,MFS,phenicol
chicken,KY40511PPY20283,aadA1,chromosome,aadA1,ANT(3''),aminoglycoside
chicken,KY40511PPY20283,aac(3)-IId,chromosome,AAC(3)-IId,AAC(3),aminoglycoside
chicken,KY40511PPY20283,aac(3)-IId,chromosome,AAC(3)-Iid,AAC(3),aminoglycoside
chicken,KY40511PPY20283,aadA11,chromosome,aadA11,ANT(3''),aminoglycoside
chicken,KY40511PPY20283,dfrA12,chromosome,dfrA12,dfr,folate pathway antagonist
chicken,KY40511PPY20283,aph(3')-Ia,chromosome,APH(3')-Ia,APH(3'),aminoglycoside
chicken,KY40511PPY20283,lnu(F),chromosome,lnu(F),LNU,lincosamide
chicken,KY40511PPY20283,blaEC-13,chromosome,blaEC-13,ampC,beta-lactam
chicken,KY40511PPY20283,aadA2,chromosome,aadA2,ANT(3''),aminoglycoside
chicken,KY40511PPY20283,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,KY40511PPY20283,Col8282,plasmid,Col8282,,colistin
chicken,KY40511PPY20283,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,KY40511PPY20283,ColRNAI,plasmid,ColRNAI,,colistin
chicken,KY40511PPY20283,ant(3'')-Ia,chromosome,ANT(3'')-Ia,	ANT(3''),aminoglycoside
chicken,KY40511PPY20283,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,KY40511PPY20283,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
chicken,KY40511PPY20283,aadA17,chromosome,aadA17,ANT(3''),aminoglycoside
chicken,LA70803PPY20014,aph(3')-IIb,chromosome,APH(3')-IIb,APH(3'),aminoglycoside
chicken,LA70803PPY20014,blaEC,chromosome,blaEC,ampC,beta-lactam
chicken,LA70803PPY20014,tet(A),chromosome,tet(A),MFS,tetracycline
chicken,LA70803PPY20014,tet(34),chromosome,tet34,tet,tetracycline
chicken,LA70803PPY20014,IncFIA(HI1)_HI1,plasmid,IncFIA(HI1)_HI1,,MULTI-DRUG
chicken,LA70803PPY20014,IncN,plasmid,IncN,,MULTI-DRUG
chicken,LA70803PPY20014,IncR,plasmid,IncR,,MULTI-DRUG
chicken,LA70803PPY20014,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,MN55108PPY20321,tet(34),chromosome,tet34,tet,tetracycline
chicken,MN55108PPY20321,blaEC-18,chromosome,blaEC-18,ampC,beta-lactam
chicken,MN55108PPY20321,aadA1,chromosome,aadA1,ANT(3''),aminoglycoside
chicken,MN55108PPY20321,aac(3)-VIa,chromosome,AAC(3)-VIa,AAC(3),aminoglycoside
chicken,MN55108PPY20321,sul1,chromosome,sul1,sul,sulfonamide
chicken,MN55108PPY20321,tet(A),chromosome,tet(A),MFS,tetracycline
chicken,MN55108PPY20321,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,MN55108PPY20321,IncFII,plasmid,IncFII,,MULTI-DRUG
chicken,MN55108PPY20321,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,MN55108PPY20321,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,MN55108PPY20321,ant(3'')-Ia,chromosome,ANT(3'')-Ia,	ANT(3''),aminoglycoside
chicken,MO65211PPY20607,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
chicken,MO65211PPY20607,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,MO65211PPY20607,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,MO65211PPY20607,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,MO65211PPY20622,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
chicken,MO65211PPY20622,ant(2'')-Ia,chromosome,ANT(2'')-Ia,ANT(2''),aminoglycoside
chicken,MO65211PPY20622,cmlA5,chromosome,cmlA5,MFS,phenicol
chicken,MO65211PPY20622,sul1,chromosome,sul1,sul,sulfonamide
chicken,MO65211PPY20622,aph(6)-Ic,chromosome,APH(6)-Ic,APH(6),aminoglycoside
chicken,MO65211PPY20622,ble_Tn5,chromosome,ble_Tn5,Bleomycin,bleomycin
chicken,MO65211PPY20622,aph(3')-IIa,chromosome,APH(3')-IIa,APH(3'),aminoglycoside
chicken,MO65211PPY20622,aph(3')-Ia,chromosome,APH(3')-Ia,APH(3'),aminoglycoside
chicken,MO65211PPY20622,tet(34),chromosome,tet34,tet,tetracycline
chicken,MO65211PPY20622,blaEC-18,chromosome,blaEC-18,ampC,beta-lactam
chicken,MO65211PPY20622,floR,chromosome,floR,MFS,phenicol
chicken,MO65211PPY20622,tet(A),chromosome,tet(A),MFS,tetracycline
chicken,MO65211PPY20622,aph(6)-Id,chromosome,APH(6)-Id,APH(6),aminoglycoside
chicken,MO65211PPY20622,aph(3'')-Ib,chromosome,APH(3'')-Ib,APH(3''),aminoglycoside
chicken,MO65211PPY20622,sul2,chromosome,sul2,sul,sulfonamide
chicken,MO65211PPY20622,ColRNAI,plasmid,ColRNAI,,colistin
chicken,MO65211PPY20622,Col(MG828),plasmid,Col(MG828),,colistin
chicken,MO65211PPY20622,IncFII(pRSB107)_pRSB107,plasmid,IncFII(pRSB107)_pRSB107,,MULTI-DRUG
chicken,MO65211PPY20622,p0111,plasmid,p0111,,MULTI-DRUG
chicken,MO65211PPY20622,IncA/C2,plasmid,IncA/C2,,MULTI-DRUG
chicken,MO65211PPY20622,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
chicken,MO65211PPY20622,ant(3'')-Ia,chromosome,ANT(3'')-Ia,	ANT(3''),aminoglycoside
chicken,MO65211PPY20622,cmlA1,chromosome,cmlA1,MFS,phenicol
chicken,MO65211PPY20622,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,MO65211PPY20644,tet(34),chromosome,tet34,tet,tetracycline
chicken,MO65211PPY20644,blaEC-15,chromosome,blaEC-15,ampC,beta-lactam
chicken,MO65211PPY20644,aac(3)-IId,chromosome,AAC(3)-IId,AAC(3),aminoglycoside
chicken,MO65211PPY20644,aac(3)-IId,chromosome,AAC(3)-Iid,AAC(3),aminoglycoside
chicken,MO65211PPY20644,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
chicken,MO65211PPY20644,p0111,plasmid,p0111,,MULTI-DRUG
chicken,MO65211PPY20644,IncFII(pCoo)_pCoo,plasmid,IncFII(pCoo)_pCoo,,MULTI-DRUG
chicken,MO65211PPY20644,IncB/O/K/Z,plasmid,IncB/O/K/Z,,MULTI-DRUG
chicken,MO65211PPY20644,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,MO65211PPY20644,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,MO65211PPY20644,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
chicken,NE68583PPY20155,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
chicken,NE68583PPY20155,aac(3)-IId,chromosome,AAC(3)-IId,AAC(3),aminoglycoside
chicken,NE68583PPY20155,aac(3)-IId,chromosome,AAC(3)-Iid,AAC(3),aminoglycoside
chicken,NE68583PPY20155,tet(34),chromosome,tet34,tet,tetracycline
chicken,NE68583PPY20155,blaEC-8,chromosome,blaEC-8,ampC,beta-lactam
chicken,NE68583PPY20155,tet(A),chromosome,tet(A),MFS,tetracycline
chicken,NE68583PPY20155,aph(3')-Ia,chromosome,APH(3')-Ia,APH(3'),aminoglycoside
chicken,NE68583PPY20155,IncFII(pCoo)_pCoo,plasmid,IncFII(pCoo)_pCoo,,MULTI-DRUG
chicken,NE68583PPY20155,IncI1_Alpha,plasmid,IncI1_Alpha,,MULTI-DRUG
chicken,NE68583PPY20155,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,NE68583PPY20155,Col(MG828),plasmid,Col(MG828),,colistin
chicken,NE68583PPY20155,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,NE68583PPY20155,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
chicken,NE68583PPY20166,tet(34),chromosome,tet34,tet,tetracycline
chicken,NE68583PPY20166,dfrA1,chromosome,dfrA1,dfr,folate pathway antagonist
chicken,NE68583PPY20166,aph(6)-Id,chromosome,APH(6)-Id,APH(6),aminoglycoside
chicken,NE68583PPY20166,aph(3'')-Ib,chromosome,APH(3'')-Ib,APH(3''),aminoglycoside
chicken,NE68583PPY20166,sul2,chromosome,sul2,sul,sulfonamide
chicken,NE68583PPY20166,blaEC-18,chromosome,blaEC-18,ampC,beta-lactam
chicken,NE68583PPY20166,ColRNAI,plasmid,ColRNAI,,colistin
chicken,NE68583PPY20166,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,NY14853PPY20112,tet(34),chromosome,tet34,tet,tetracycline
chicken,NY14853PPY20112,blaEC,chromosome,blaEC,ampC,beta-lactam
chicken,NY14853PPY20112,IncI1_Alpha,plasmid,IncI1_Alpha,,MULTI-DRUG
chicken,NY14853PPY20112,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,NY14853PPY20112,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,NY14853PPY20112,IncFIA,plasmid,IncFIA,,MULTI-DRUG
chicken,NY14853PPY20112,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,NY14853PPY20246,tet(34),chromosome,tet34,tet,tetracycline
chicken,NY14853PPY20246,sul2,chromosome,sul2,sul,sulfonamide
chicken,NY14853PPY20246,blaEC-19,chromosome,blaEC-19,ampC,beta-lactam
chicken,NY14853PPY20246,tet(B),chromosome,tet(B),MFS,tetracycline
chicken,NY14853PPY20246,IncFIA,plasmid,IncFIA,,MULTI-DRUG
chicken,NY14853PPY20246,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,NY14853PPY20246,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,NY14853PPY20246,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,NY14853PPY20357,blaEC,chromosome,blaEC,ampC,beta-lactam
chicken,NY14853PPY20357,sul2,chromosome,sul2,sul,sulfonamide
chicken,NY14853PPY20357,aadA1,chromosome,aadA1,ANT(3''),aminoglycoside
chicken,NY14853PPY20357,aac(3)-VIa,chromosome,AAC(3)-VIa,AAC(3),aminoglycoside
chicken,NY14853PPY20357,sul1,chromosome,sul1,sul,sulfonamide
chicken,NY14853PPY20357,ColRNAI,plasmid,ColRNAI,,colistin
chicken,NY14853PPY20357,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,NY14853PPY20357,IncI2,plasmid,IncI2,,MULTI-DRUG
chicken,NY14853PPY20357,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,NY14853PPY20357,Col(MG828),plasmid,Col(MG828),,colistin
chicken,NY14853PPY20357,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,NY14853PPY20357,ant(3'')-Ia,chromosome,ANT(3'')-Ia,	ANT(3''),aminoglycoside
chicken,NY14853PPY20443,tet(34),chromosome,tet34,tet,tetracycline
chicken,NY14853PPY20443,blaEC-15,chromosome,blaEC-15,ampC,beta-lactam
chicken,NY14853PPY20443,aph(3'')-Ib,chromosome,APH(3'')-Ib,APH(3''),aminoglycoside
chicken,NY14853PPY20443,aph(6)-Id,chromosome,APH(6)-Id,APH(6),aminoglycoside
chicken,NY14853PPY20443,aph(3')-Ia,chromosome,APH(3')-Ia,APH(3'),aminoglycoside
chicken,NY14853PPY20443,tet(B),chromosome,tet(B),MFS,tetracycline
chicken,NY14853PPY20443,sul2,chromosome,sul2,sul,sulfonamide
chicken,NY14853PPY20443,IncFIA,plasmid,IncFIA,,MULTI-DRUG
